all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_MUTECT,rate_MUSE,rate_VARSCANS,rate_SOMATICSNIPER,rate_RADIA,vtype,grouping,filter,centers,vaf_bin,lc,rate_INDELOCATOR,rate_VARSCANI,rate_PINDEL
,39155,5,0,0.0,0.0,9.809939920550995e-05,0.0,0.4,39155,1.0,0.0,0.1111111111111111,-0.25,0.9991061167156174,1.0,0.0,0.0,0.0008938832843825821,snv,vaf_bin+lc,all,starred_counted,<5%,False,,,
,1875,5,0,0.0,2.168404344971009e-19,0.002044589128401138,0.0,0.4,1875,1.0,0.0,0.1111111111111111,-0.25,0.9984,1.0,0.0,0.0,0.0016,snv,vaf_bin+lc,all,starred_counted,<5%,True,,,
,313751,5,9,2.8685167537314622e-05,1.5091892461246091e-05,5.4521244722999544e-05,0.3125089641148554,0.47735943471096504,313751,0.9999713148324627,3.1872408374794024e-06,0.2288340338515101,-0.17267512290505418,0.7351211629604367,0.694694200177848,0.6018913087129603,0.00015617480103649072,0.35493432690254373,snv,vaf_bin+lc,all,starred_counted,5-10%,False,,,
,10324,5,0,0.0,0.0,0.00037195176126694437,0.3179000387446726,0.47737311119721043,10324,1.0,0.0,0.2196564113136624,-0.1748197115453318,0.8298140255714839,0.7895195660596668,0.5123014335528865,0.000581170089112747,0.25464936071290195,snv,vaf_bin+lc,all,starred_counted,5-10%,True,,,
,772757,5,190000,0.24587289406631063,0.24491408599040232,0.2468342287164455,0.7799994047287828,0.7416823141039163,772757,0.7541271059336894,1.294067863506898e-06,0.5953125455900949,0.047071558524645535,0.8346763600976762,0.8230271611903871,0.9049934196649141,0.26308011444736185,0.8826345151192418,snv,vaf_bin+lc,all,starred_counted,10-20%,False,,,
,25787,5,5789,0.2244929615697832,0.21944158377500217,0.22962641105227016,0.7758948307286617,0.7299957342847171,25787,0.7755070384302167,3.8779229844495286e-05,0.5762437556000395,0.03534920812112746,0.8575638887811688,0.8436033660371505,0.8666382285647807,0.25276302012642027,0.8294101679140652,snv,vaf_bin+lc,all,starred_counted,10-20%,True,,,
,2179777,5,1818202,0.8341229400989184,0.8336285522973592,0.8346161502412459,0.943108859300745,0.9353476066588463,2179777,0.16587705990108162,4.5876252479037995e-07,0.9120355390283678,0.2852168432635842,0.9674641029793415,0.9736739125149041,0.9208285985217753,0.905174703650878,0.9095967156273326,snv,vaf_bin+lc,all,starred_counted,>=20%,False,,,
,79502,5,58922,0.7411385877084853,0.7380823024822535,0.7441715708996021,0.8992981308646323,0.8938592739805287,79502,0.25886141229151466,5.031319966793288e-05,0.8580761098057345,0.2740305940231824,0.9298130864632337,0.938504691705869,0.8879776609393475,0.8642549872959171,0.8487459434982768,snv,vaf_bin+lc,all,starred_counted,>=20%,True,,,
all,146573,3,89674,0.6118043568733669,0.609306560164242,0.6142962932865728,0.9963090064336542,0.8693711211023404,146573,0.3881956431266331,0.00369099356634578,0.7410123727512771,-0.13942302922034946,,,,,,indel,all,PASS,starred_counted,,,0.918225048269463,0.9228575522094792,0.7670307628280788
,9570,3,2038,0.212957157784744,0.20487083574514478,0.22127382900296452,0.9850574712643678,0.7326715430163705,9570,0.787042842215256,0.014942528735632184,0.4719524790504653,-0.3394379617033503,,,,,,indel,vaf_bin,PASS,starred_counted,5-10%,,0.8470219435736677,0.46008359456635317,0.8909090909090909
,34861,3,22426,0.6432976678810132,0.6382536466731983,0.648310111598885,0.9934023694099423,0.8789000124303185,34861,0.35670233211898683,0.006597630590057657,0.7616332753962549,-0.1171233381111311,,,,,,indel,vaf_bin,PASS,starred_counted,10-20%,,0.8353747741028656,0.8957287513266975,0.9055965118613923
,102142,3,65210,0.6384249378316461,0.63547332607366,0.6413661379333015,0.9983552309529871,0.8789267229282111,102142,0.36157506216835383,0.001644769047012982,0.7589074438558092,-0.13259919415889201,,,,,,indel,vaf_bin,PASS,starred_counted,>=20%,,0.9531730336198625,0.9754753186740028,0.7081318164907677
,101206,3,74262,0.7337707250558267,0.7310388554689893,0.7364848489254328,0.9960970693437148,0.9099559314665139,101206,0.26622927494417326,0.0039029306562852004,0.8222815738003474,-0.0830763796033523,,,,,,indel,lc,PASS,starred_counted,,False,0.9122482856747623,0.9022389976878841,0.915380511036895
,45367,3,15412,0.3397182974408711,0.3353738816750141,0.3440898546720524,0.9967818017501708,0.7788333663970141,45367,0.6602817025591289,0.003218198249829171,0.5596924838403589,-0.27774400242454145,,,,,,indel,lc,PASS,starred_counted,,True,0.9315581810567153,0.9688540128287081,0.43608790530561864
,8417,3,1777,0.2111203516692408,0.2025346653451061,0.21996960293011636,0.9865747891172627,0.7325650469288344,8417,0.7888796483307592,0.013425210882737317,0.47096565527894424,-0.34222442144261067,,,,,,indel,vaf_bin+lc,PASS,starred_counted,5-10%,False,0.8554116668646786,0.43091362718308185,0.911369846738743
,1153,3,261,0.2263660017346054,0.20314268151159126,0.2514066042278278,0.97398091934085,0.7334489736918184,1153,0.7736339982653946,0.026019080659150044,0.4798881799952992,-0.3190584127152418,,,,,,indel,vaf_bin+lc,PASS,starred_counted,5-10%,True,0.7857762359063313,0.6730268863833477,0.7415437987857763
,28103,3,19208,0.6834857488524357,0.6780230612427843,0.6888982812036649,0.9942710742625342,0.89258560770499,28103,0.3165142511475643,0.005728925737465751,0.7884888001423279,-0.10042299917230887,,,,,,indel,vaf_bin+lc,PASS,starred_counted,10-20%,False,0.8393765790129167,0.8868092374479593,0.9515710066540939
,6758,3,3218,0.47617638354542763,0.46428593370143423,0.4880939021818874,0.9897898786623262,0.8219887540692512,6758,0.5238236164545723,0.010210121337673869,0.6500001924597286,-0.19330237263127795,,,,,,indel,vaf_bin+lc,PASS,starred_counted,10-20%,True,0.8187333530630364,0.9328203610535661,0.7144125480911512
,64686,3,53277,0.8236248956497542,0.8206685509688507,0.8265428048767454,0.9981294252233868,0.9405847736243803,64686,0.1763751043502458,0.0018705747766131775,0.8823696422896351,-0.05201111607897703,,,,,,indel,vaf_bin+lc,PASS,starred_counted,>=20%,False,0.9513032186253594,0.9702717744179575,0.9001793278298241
,37456,3,11933,0.31858714224690304,0.31388742164655575,0.32332407016022674,0.998745194361384,0.7724441122027623,37456,0.681412857753097,0.0012548056386159762,0.5456742910039246,-0.2922124626467421,,,,,,indel,vaf_bin+lc,PASS,starred_counted,>=20%,True,0.9564021785561726,0.9844617684750107,0.3764683895771038
