vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,purity,denom,callerset
10-20%,vtype,191,0.6963350785340314,11262,0.39282543065174924,0.3035096478822822,0.23435991586967636,0.3649818637849858,3.6541991265838155e-17,3.6541991265838155e-17,True,True,0.2,truth,native
>=20%,vtype,0,,155,0.23870967741935484,,,,,,False,False,0.2,truth,native
<5%,vtype,967,0.8469493278179938,14816,0.7316414686825053,0.11530785913548847,0.09022760712743938,0.137805423153286,3.5525002253824386e-15,3.5525002253824386e-15,True,True,0.2,truth,shared4
5-10%,vtype,467,0.6788008565310493,13213,0.313933247559222,0.3648676089718273,0.32048643046522346,0.40636128816289435,5.4377164185639355e-61,1.0875432837127871e-60,True,True,0.2,truth,shared4
10-20%,vtype,191,0.6963350785340314,11262,0.1343455869294974,0.561989491604534,0.49313492382890534,0.6231145802406045,7.640482244624034e-106,2.2921446733872104e-105,True,True,0.2,truth,shared4
>=20%,vtype,0,,155,0.05161290322580645,,,,,,False,False,0.2,truth,shared4
<5%,vtype,703,1.0,9088,1.0,0.0,-0.005434682378568145,0.00042251713672025737,1.0,1.0,False,False,0.2,union,native
5-10%,vtype,1312,0.8673780487804879,18394,0.99978253778406,-0.13240448900357216,-0.1518344238447329,-0.11511667542056275,7.560539623380201e-203,2.26816188701406e-202,False,False,0.2,union,native
10-20%,vtype,3985,0.8127979924717691,49523,0.61781394503564,0.19498404743612907,0.18185970199583398,0.20754645446497214,5.2968137702960146e-133,1.0593627540592029e-132,True,True,0.2,union,native
>=20%,vtype,8982,0.781563126252505,72305,0.5386072885692552,0.2429558376832498,0.23356131133933852,0.25213043628481996,0.0,0.0,True,True,0.2,union,native
<5%,vtype,703,1.0,8226,0.7667152929734986,0.2332847070265014,0.2227595139467441,0.24254723818790225,9.631947400941242e-78,9.631947400941242e-78,True,True,0.2,union,shared4
5-10%,vtype,1312,0.8673780487804879,18294,0.4168579862249918,0.45052006255549604,0.42981285104267297,0.46921596932922816,3.3281464602037335e-220,6.656292920407467e-220,True,True,0.2,union,shared4
10-20%,vtype,3985,0.8127979924717691,39715,0.3800830920307189,0.4327149004410502,0.4194140896589465,0.44544672310119193,0.0,0.0,True,True,0.2,union,shared4
>=20%,vtype,8982,0.781563126252505,54801,0.3908322840824073,0.39073084217009774,0.38114854474807286,0.4000893523394523,0.0,0.0,True,True,0.2,union,shared4
<5%,vtype,633,1.0,7508,1.0,0.0,-0.0060320488992782195,0.0005113871001873882,1.0,1.0,False,False,0.2,union_hc,native
5-10%,vtype,898,0.8307349665924276,13518,0.9999260245598461,-0.1691910579674185,-0.1951140333570764,-0.14608315802239255,2.3471444893599425e-187,9.38857795743977e-187,False,False,0.2,union_hc,native
10-20%,vtype,572,0.6958041958041958,19527,0.6412659394684284,0.05453825633576748,0.015060307927909626,0.09145444542973843,0.00831849609941665,0.02495548829824995,True,True,0.2,union_hc,native
>=20%,vtype,231,0.8571428571428571,12855,0.8531310774017892,0.004011779741067922,-0.047318067486838936,0.04379408118971407,0.9386444243434644,1.0,True,False,0.2,union_hc,native
<5%,vtype,633,1.0,7508,0.7472029834842834,0.2527970165157166,0.2413721006178936,0.2627525855279529,6.514459281884118e-77,6.514459281884118e-77,True,True,0.2,union_hc,shared4
5-10%,vtype,898,0.8307349665924276,13517,0.3233705703928387,0.507364396199589,0.48025428694370964,0.5317618228563007,2.1103398160618178e-207,6.331019448185454e-207,True,True,0.2,union_hc,shared4
10-20%,vtype,572,0.6958041958041958,12039,0.1680372123930559,0.5277669834111399,0.48827439012057594,0.5646503819009511,1.697989334172698e-214,6.791957336690792e-214,True,True,0.2,union_hc,shared4
>=20%,vtype,231,0.8571428571428571,2237,0.15601251676352257,0.7011303403793345,0.6478129493121397,0.7429941000355186,6.903170480349209e-131,1.3806340960698417e-130,True,True,0.2,union_hc,shared4
<5%,vtype,1434,0.9651324965132496,28029,0.9944700132006137,-0.029337516687364062,-0.0401730084842062,-0.0209644311023399,6.383855768490655e-38,1.276771153698131e-37,False,False,0.1,truth,native
5-10%,vtype,191,0.9162303664921466,11262,0.8914047238501154,0.024825642642031243,-0.023464523043191146,0.056919100524695836,0.3281312405843681,0.3281312405843681,True,False,0.1,truth,native
10-20%,vtype,0,,155,0.8258064516129032,,,,,,False,False,0.1,truth,native
<5%,vtype,1434,0.9651324965132496,28029,0.8086981340754219,0.1564343624378277,0.14470503790513597,0.16596436018405947,4.0494551881124225e-50,8.098910376224845e-50,True,True,0.1,truth,shared4
5-10%,vtype,191,0.9162303664921466,11262,0.39220387142603447,0.5240264950661122,0.4752168702244126,0.5568294815805621,3.8151337320648386e-48,3.8151337320648386e-48,True,True,0.1,truth,shared4
10-20%,vtype,0,,155,0.2903225806451613,,,,,,False,False,0.1,truth,shared4
<5%,vtype,1112,1.0,13967,1.0,0.0,-0.0034426564726803832,0.00027496259491732733,1.0,1.0,False,False,0.1,union,native
5-10%,vtype,2114,0.9654683065279092,34694,0.9998270594339079,-0.03435875290599877,-0.04302566305893442,-0.027377942063128456,2.2489325363891056e-237,8.995730145556422e-237,False,False,0.1,union,native
10-20%,vtype,4578,0.8713411970292704,55948,0.7125008936869951,0.15884030334227528,0.14815484556188097,0.16895554902509063,3.5655350788790425e-118,1.0696605236637128e-117,True,True,0.1,union,native
>=20%,vtype,2098,0.8741658722592945,27808,0.7720080552359033,0.10215781702339122,0.08649458710936576,0.1165539145091161,1.9847082781611045e-27,3.969416556322209e-27,True,True,0.1,union,native
<5%,vtype,1112,1.0,13465,0.8466394355737096,0.15336056442629042,0.14645403953122263,0.15954563188456827,1.6383823572837825e-77,1.6383823572837825e-77,True,True,0.1,union,shared4
5-10%,vtype,2114,0.9654683065279092,34653,0.6392520128127435,0.3262162937151657,0.3161907126997206,0.33484229095764795,1.3459063863408677e-206,2.6918127726817354e-206,True,True,0.1,union,shared4
10-20%,vtype,4578,0.8713411970292704,46733,0.4774998395138339,0.3938413575154365,0.38285283321610913,0.4042641450023644,0.0,0.0,True,True,0.1,union,shared4
>=20%,vtype,2098,0.8741658722592945,12678,0.4991323552610822,0.37503351699821236,0.3577962008825408,0.3911047882285794,2.3495186381174874e-224,7.048555914352462e-224,True,True,0.1,union,shared4
