vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,purity,denom,callerset
10-20%,vtype,484,0.33264462809917356,11394,0.3012989292610146,0.031345698838158964,-0.010047138407201707,0.07529579995555732,0.1556746735912389,0.1556746735912389,True,False,0.5,truth,native
>=20%,vtype,330,0.3151515151515151,16636,0.07543880740562635,0.23971270774588876,0.1917825995760038,0.2918673666274899,4.086128833395145e-56,8.17225766679029e-56,True,True,0.5,truth,native
<5%,vtype,389,0.6195372750642674,5145,0.7327502429543246,-0.11321296789005719,-0.16382821451954854,-0.06477995595336071,1.9187729169083583e-06,3.837545833816717e-06,False,False,0.5,truth,shared4
5-10%,vtype,422,0.38388625592417064,6271,0.32179875617923775,0.062087499744932884,0.015448960851679842,0.11070527934484094,0.00985934948898954,0.00985934948898954,True,True,0.5,truth,shared4
10-20%,vtype,484,0.33264462809917356,11394,0.11567491662278392,0.21696971147638963,0.17601473883363786,0.26049864064654055,4.416652651544944e-45,1.3249957954634832e-44,True,True,0.5,truth,shared4
>=20%,vtype,330,0.3151515151515151,16636,0.06996874248617456,0.24518277266534055,0.19726409608094825,0.2973272523360349,2.312497268264644e-62,9.249989073058576e-62,True,True,0.5,truth,shared4
<5%,vtype,831,0.9963898916967509,8032,1.0,-0.0036101083032491488,-0.01055991062424555,-0.0011810029079910756,0.0008215583521684267,0.0008215583521684267,False,False,0.5,union,native
5-10%,vtype,903,0.8881506090808416,8486,0.9998821588498704,-0.11173154976902877,-0.13395542193935334,-0.09278839957651414,9.329603236015835e-104,2.7988809708047505e-103,False,False,0.5,union,native
10-20%,vtype,1764,0.721655328798186,27018,0.6652601969057665,0.0563951318924194,0.03429376470900313,0.0775785629886316,1.2372018695437025e-06,2.474403739087405e-06,True,True,0.5,union,native
>=20%,vtype,19008,0.750368265993266,125521,0.4651412910987006,0.2852269748945654,0.278437617426142,0.29192314235850514,0.0,0.0,True,True,0.5,union,native
<5%,vtype,831,0.9963898916967509,6391,0.888749804412455,0.10764008728429586,0.09743213682013273,0.11593326505190216,2.6397711867433095e-35,2.6397711867433095e-35,True,True,0.5,union,shared4
5-10%,vtype,903,0.8881506090808416,8303,0.4824762134168373,0.4056743956640044,0.3809856399844961,0.4274421779411677,1.7371375752115835e-118,3.474275150423167e-118,True,True,0.5,union,shared4
10-20%,vtype,1764,0.721655328798186,16195,0.27903673973448595,0.4426185890637,0.42013497654686194,0.46415468979089136,1.119062254766e-311,3.357186764298e-311,True,True,0.5,union,shared4
>=20%,vtype,19008,0.750368265993266,102697,0.3459984225439886,0.4043698434492774,0.39751612542568826,0.4111271709364796,0.0,0.0,True,True,0.5,union,shared4
<5%,vtype,745,0.9959731543624161,4506,1.0,-0.004026845637583931,-0.011771830397466765,-0.0012371908985852839,0.0028460342853112532,0.0056920685706225065,False,False,0.5,union_hc,native
5-10%,vtype,747,0.8688085676037484,6797,0.9998528762689421,-0.1310443086651938,-0.1571535185544889,-0.10869865294769403,8.310828592168452e-100,3.324331436867381e-99,False,False,0.5,union_hc,native
10-20%,vtype,1051,0.5775451950523312,20717,0.6039001785972873,-0.026354983544956134,-0.05717093685422884,0.003918158615862057,0.09472004266553449,0.09472004266553449,False,False,0.5,union_hc,native
>=20%,vtype,1102,0.5989110707803993,29535,0.4596918909768072,0.1392191798035921,0.10943814057419812,0.1683239287856921,1.2196425518799202e-19,3.6589276556397605e-19,True,True,0.5,union_hc,native
<5%,vtype,745,0.9959731543624161,4506,0.8668442077230359,0.12912894663938013,0.1167880020836025,0.1397010993446812,6.178441823460416e-38,6.178441823460416e-38,True,True,0.5,union_hc,shared4
5-10%,vtype,747,0.8688085676037484,6797,0.4116521994997793,0.45715636810396904,0.4285267976123478,0.482345638454833,6.8666957450028e-125,1.37333914900056e-124,True,True,0.5,union_hc,shared4
10-20%,vtype,1051,0.5775451950523312,12777,0.16678406511700714,0.410761129935324,0.37996152574697567,0.4409663163026067,7.931543631022555e-226,2.3794630893067664e-225,True,True,0.5,union_hc,shared4
>=20%,vtype,1102,0.5989110707803993,17337,0.0794831862490627,0.5194278845313366,0.48990626886682476,0.5482431672793969,0.0,0.0,True,True,0.5,union_hc,shared4
<5%,vtype,967,0.8469493278179938,14816,0.9954778617710583,-0.14852853395306453,-0.1726095439656374,-0.12717761429737773,0.0,0.0,False,False,0.2,truth,native
5-10%,vtype,467,0.6788008565310493,13213,0.8583970332248543,-0.179596176693805,-0.22364546391123813,-0.13840680104680528,1.2214580588583096e-26,2.442916117716619e-26,False,False,0.2,truth,native
