vtype,hypothesis,vaf_bin,threshold,n,all_agree,lo,hi,p_one_sided,supported,p_holm,supported_holm,purity,denom,callerset
indel,H2,<5%,0.5,745,0.004026845637583893,0.0013704158080156377,0.011771830397466702,3.72370027518773e-217,True,1.1171100825563191e-216,True,0.5,union_hc,native
snv,H1,>=20%,0.8,29535,0.5403081090231928,0.5346194999183592,0.5459862341731178,1.0,False,1.0,False,0.5,union_hc,native
snv,H2,<5%,0.5,4506,0.0,0.0,0.0008517946486080359,0.0,True,0.0,True,0.5,union_hc,native
indel,H1,>=20%,0.8,1102,0.4010889292196007,0.37254343381151855,0.4303216168147418,1.0,False,1.0,False,0.5,union_hc,shared4
indel,H2,<5%,0.5,745,0.004026845637583893,0.0013704158080156377,0.011771830397466702,3.72370027518773e-217,True,7.44740055037546e-217,True,0.5,union_hc,shared4
snv,H1,>=20%,0.8,17337,0.9205168137509373,0.916396647806701,0.9244506683183847,0.0,True,0.0,True,0.5,union_hc,shared4
snv,H2,<5%,0.5,4506,0.13315579227696406,0.12354776835953137,0.14338876806041942,0.0,True,0.0,True,0.5,union_hc,shared4
indel,H1,>=20%,0.8,0,,,,,False,,False,0.2,truth,native
indel,H2,<5%,0.5,967,0.15305067218200621,0.13173442327164128,0.17711256311985382,1.8664742431270992e-113,True,3.7329484862541984e-113,True,0.2,truth,native
snv,H1,>=20%,0.8,155,0.7612903225806451,0.688376411529281,0.8215660216451439,0.9020154316470164,False,0.9020154316470164,False,0.2,truth,native
snv,H2,<5%,0.5,14816,0.004522138228941684,0.0035627385620832785,0.005738404044854097,0.0,True,0.0,True,0.2,truth,native
indel,H1,>=20%,0.8,0,,,,,False,,False,0.2,truth,shared4
indel,H2,<5%,0.5,967,0.15305067218200621,0.13173442327164128,0.17711256311985382,1.8664742431270992e-113,True,3.7329484862541984e-113,True,0.2,truth,shared4
snv,H1,>=20%,0.8,155,0.9483870967741935,0.9014684928572181,0.9736179048124742,1.2638744017787124e-07,True,1.2638744017787124e-07,True,0.2,truth,shared4
snv,H2,<5%,0.5,14816,0.2683585313174946,0.26128432144766583,0.2755528289987323,0.0,True,0.0,True,0.2,truth,shared4
indel,H1,>=20%,0.8,8982,0.218436873747495,0.21001332919414106,0.22710115550056065,1.0,False,1.0,False,0.2,union,native
indel,H2,<5%,0.5,703,0.0,0.0,0.0054346823785680004,2.37636445786895e-212,True,7.129093373606849e-212,True,0.2,union,native
snv,H1,>=20%,0.8,72305,0.4613927114307448,0.4577612727447779,0.4650282521962424,1.0,False,1.0,False,0.2,union,native
snv,H2,<5%,0.5,9088,0.0,0.0,0.00042251713672011187,0.0,True,0.0,True,0.2,union,native
indel,H1,>=20%,0.8,8982,0.218436873747495,0.21001332919414106,0.22710115550056065,1.0,False,1.0,False,0.2,union,shared4
indel,H2,<5%,0.5,703,0.0,0.0,0.0054346823785680004,2.37636445786895e-212,True,7.129093373606849e-212,True,0.2,union,shared4
snv,H1,>=20%,0.8,54801,0.6091677159175928,0.6050749606613335,0.6132451672965273,1.0,False,1.0,False,0.2,union,shared4
snv,H2,<5%,0.5,8226,0.23328470702650134,0.22427116627881227,0.2425472381879022,0.0,True,0.0,True,0.2,union,shared4
indel,H1,>=20%,0.8,231,0.14285714285714285,0.10356482229202513,0.19383351261620496,1.0,False,1.0,False,0.2,union_hc,native
indel,H2,<5%,0.5,633,0.0,0.0,0.006032048899278254,2.805515966730756e-191,True,8.416547900192268e-191,True,0.2,union_hc,native
snv,H1,>=20%,0.8,12855,0.1468689225982108,0.14085535937599147,0.15309347504469123,1.0,False,1.0,False,0.2,union_hc,native
snv,H2,<5%,0.5,7508,0.0,0.0,0.000511387100187443,0.0,True,0.0,True,0.2,union_hc,native
indel,H1,>=20%,0.8,231,0.14285714285714285,0.10356482229202513,0.19383351261620496,1.0,False,1.0,False,0.2,union_hc,shared4
indel,H2,<5%,0.5,633,0.0,0.0,0.006032048899278254,2.805515966730756e-191,True,8.416547900192268e-191,True,0.2,union_hc,shared4
snv,H1,>=20%,0.8,2237,0.8439874832364774,0.8283620579174804,0.8584335178882003,4.977948558241182e-08,True,9.955897116482364e-08,True,0.2,union_hc,shared4
snv,H2,<5%,0.5,7508,0.25279701651571657,0.2430942803372437,0.2627525855279529,0.0,True,0.0,True,0.2,union_hc,shared4
indel,H1,>=20%,0.8,0,,,,,False,,False,0.1,truth,native
indel,H2,<5%,0.5,1434,0.03486750348675035,0.026547180751517865,0.045673200837606745,0.0,True,0.0,True,0.1,truth,native
snv,H1,>=20%,0.8,0,,,,,False,,False,0.1,truth,native
snv,H2,<5%,0.5,28029,0.00552998679938635,0.004727000347989436,0.0064684918849943936,0.0,True,0.0,True,0.1,truth,native
indel,H1,>=20%,0.8,0,,,,,False,,False,0.1,truth,shared4
indel,H2,<5%,0.5,1434,0.03486750348675035,0.026547180751517865,0.045673200837606745,0.0,True,0.0,True,0.1,truth,shared4
snv,H1,>=20%,0.8,0,,,,,False,,False,0.1,truth,shared4
snv,H2,<5%,0.5,28029,0.19130186592457812,0.18673963415110384,0.19594870211974957,0.0,True,0.0,True,0.1,truth,shared4
indel,H1,>=20%,0.8,2098,0.12583412774070543,0.11232253948571533,0.140713414576729,1.0,False,1.0,False,0.1,union,native
indel,H2,<5%,0.5,1112,0.0,0.0,0.003442656472680331,0.0,True,0.0,True,0.1,union,native
snv,H1,>=20%,0.8,27808,0.22799194476409665,0.2230987255179401,0.23296030522264885,1.0,False,1.0,False,0.1,union,native
snv,H2,<5%,0.5,13967,0.0,0.0,0.00027496259491719907,0.0,True,0.0,True,0.1,union,native
indel,H1,>=20%,0.8,2098,0.12583412774070543,0.11232253948571533,0.140713414576729,1.0,False,1.0,False,0.1,union,shared4
indel,H2,<5%,0.5,1112,0.0,0.0,0.003442656472680331,0.0,True,0.0,True,0.1,union,shared4
snv,H1,>=20%,0.8,12678,0.5008676447389178,0.4921652375935972,0.5095695262473983,1.0,False,1.0,False,0.1,union,shared4
