vtype,vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,purity,denom,callerset
indel,>=20%,lc,16106,0.8591208245374394,6268,0.5,0.35912082453743943,0.3455960785913362,0.37257736000854524,0.0,0.0,True,True,0.75,union,shared4
snv,<5%,lc,934,0.9925053533190579,6568,0.9639159561510353,0.028589397168022557,0.01962571740920937,0.03473956197175116,6.478220981571165e-06,1.295644196314233e-05,True,True,0.75,union,shared4
snv,5-10%,lc,1391,0.9115744069015097,6019,0.4613723209835521,0.45020208591795763,0.42976775391266,0.4688721718432759,1.6263183274313293e-202,8.131591637156646e-202,True,True,0.75,union,shared4
snv,10-20%,lc,1939,0.814853017019082,9202,0.22451640947620083,0.5903366075428811,0.5704561248635163,0.6089988011870995,0.0,0.0,True,True,0.75,union,shared4
snv,>=20%,lc,12065,0.6630750103605471,101125,0.3046922126081582,0.35838279775238885,0.34943406575357433,0.36722840501023357,0.0,0.0,True,True,0.75,union,shared4
indel,<5%,lc,452,1.0,473,0.9978858350951374,0.0021141649048626032,-0.006490950105334932,0.011877017006899693,1.0,1.0,True,False,0.75,union_hc,native
indel,5-10%,lc,364,0.9917582417582418,396,0.8080808080808081,0.18367743367743372,0.14462605126046416,0.2257038401861564,1.2631641579646044e-19,5.052656631858418e-19,True,True,0.75,union_hc,native
indel,10-20%,lc,367,0.9618528610354223,546,0.4908424908424908,0.4710103701929315,0.4223346119710834,0.5154454772048731,3.911766818342558e-50,1.9558834091712787e-49,True,True,0.75,union_hc,native
indel,>=20%,lc,1037,0.866923818707811,907,0.2954796030871003,0.5714442156207107,0.5338138013151552,0.6061105886936613,1.0564613585014868e-144,6.33876815100892e-144,True,True,0.75,union_hc,native
snv,<5%,lc,577,1.0,3912,1.0,0.0,-0.006613609897085482,0.000981004685989273,1.0,1.0,False,False,0.75,union_hc,native
snv,5-10%,lc,1016,1.0,4671,0.9997859130807107,0.00021408691928925805,-0.0035567579558031712,0.001211759685845637,1.0,1.0,True,False,0.75,union_hc,native
snv,10-20%,lc,9310,0.975187969924812,8598,0.43463596185159337,0.5405520080732187,0.5295225529434562,0.5514122280796682,0.0,0.0,True,True,0.75,union_hc,native
snv,>=20%,lc,16336,0.9269711067580804,26292,0.17952228814848623,0.7474488186095941,0.7412284665687047,0.7534672675895794,0.0,0.0,True,True,0.75,union_hc,native
