vtype,vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,run,flags,callerset,denom
snv,>=20%,lc,1742,0.12112514351320322,26198,0.02752118482326895,0.09360395868993426,0.07896572573966396,0.10987786288142513,6.765297147054814e-98,5.412237717643852e-97,True,True,IL_T_1,strict,native,truth_obsvaf
indel,<5%,lc,6,0.8333333333333334,58,0.6896551724137931,0.14367816091954022,-0.26659091531497,0.3306724406988145,0.6601752614973693,1.0,True,False,NV_T_1,strict,native,truth_obsvaf
indel,5-10%,lc,35,0.7428571428571429,193,0.15025906735751296,0.59259807549963,0.4193313495378457,0.7160498502288776,2.394803539785093e-13,1.1974017698925464e-12,True,True,NV_T_1,strict,native,truth_obsvaf
indel,10-20%,lc,78,0.38461538461538464,349,0.054441260744985676,0.33017412387039896,0.22592939209636073,0.4427994345932156,6.758129169030236e-16,4.7306904183211654e-15,True,True,NV_T_1,strict,native,truth_obsvaf
indel,>=20%,lc,244,0.24180327868852458,611,0.060556464811783964,0.18124681387674063,0.12720126553812294,0.24097465761422038,8.59859736073103e-14,5.159158416438619e-13,True,True,NV_T_1,strict,native,truth_obsvaf
snv,<5%,lc,45,1.0,998,1.0,0.0,-0.0786515987328883,0.0038343979347952306,1.0,1.0,False,False,NV_T_1,strict,native,truth_obsvaf
snv,5-10%,lc,210,1.0,3364,1.0,0.0,-0.017964050759283312,0.0011406293519645727,1.0,1.0,False,False,NV_T_1,strict,native,truth_obsvaf
snv,10-20%,lc,336,0.5595238095238095,5724,0.4392033542976939,0.12032045522611562,0.06532912620594007,0.17398501837653163,2.08239921723622e-05,8.32959686894488e-05,True,True,NV_T_1,strict,native,truth_obsvaf
snv,>=20%,lc,1761,0.12208972174900624,26330,0.02745917204709457,0.09463054970191168,0.08001315238291731,0.11086181189743198,5.816994064814221e-101,4.653595251851377e-100,True,True,NV_T_1,strict,native,truth_obsvaf
indel,<5%,lc,3,1.0,42,0.9047619047619048,0.09523809523809523,-0.46920312824061894,0.22065105808571028,1.0,1.0,True,False,FD_T_1,strict,native,truth_obsvaf
indel,5-10%,lc,16,0.5,152,0.4473684210526316,0.05263157894736842,-0.18125308489644815,0.2856484594229998,0.8900026605751744,1.0,True,False,FD_T_1,strict,native,truth_obsvaf
indel,10-20%,lc,81,0.32098765432098764,297,0.09090909090909091,0.23007856341189672,0.13089266393041393,0.34135214515024975,3.2917873322108295e-07,2.304251132547581e-06,True,True,FD_T_1,strict,native,truth_obsvaf
indel,>=20%,lc,264,0.13257575757575757,656,0.051829268292682924,0.08074648928307465,0.03997515575914178,0.12919148942665956,4.746619146580988e-05,0.0002847971487948593,True,True,FD_T_1,strict,native,truth_obsvaf
snv,<5%,lc,9,1.0,243,1.0,0.0,-0.29914504841954415,0.015562453888609551,1.0,1.0,False,False,FD_T_1,strict,native,truth_obsvaf
snv,5-10%,lc,158,1.0,2542,1.0,0.0,-0.023735937927685802,0.0015089151790596,1.0,1.0,False,False,FD_T_1,strict,native,truth_obsvaf
snv,10-20%,lc,362,0.6243093922651933,5746,0.5558649495301079,0.06844444273508543,0.015910497387006207,0.11846976941545838,0.012778401033386408,0.06389200516693204,True,False,FD_T_1,strict,native,truth_obsvaf
snv,>=20%,lc,1730,0.11849710982658959,26151,0.02867959160261558,0.08981751822397402,0.07527507814797411,0.1060173911855478,1.8297723538356103e-87,1.4638178830684883e-86,True,True,FD_T_1,strict,native,truth_obsvaf
indel,<5%,lc,3,1.0,61,0.9180327868852459,0.08196721311475408,-0.4814476433949474,0.1779466180292535,1.0,1.0,True,False,NS_T_1,strict,native,truth_obsvaf
indel,5-10%,lc,34,0.6470588235294118,172,0.37209302325581395,0.27496580027359785,0.09134616522843178,0.42917761780447516,0.005427132131415556,0.03256279278849333,True,True,NS_T_1,strict,native,truth_obsvaf
indel,10-20%,lc,72,0.3194444444444444,347,0.09510086455331412,0.2243435798911303,0.12183132346301574,0.34186813205176,9.54832846678425e-07,6.683829926748975e-06,True,True,NS_T_1,strict,native,truth_obsvaf
