all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_MuTect2,rate_SomaticSniper,rate_VarDict,rate_MuSE,rate_Strelka,vtype,grouping,run,flags,callerset,denom,vaf_bin,lc
,26268,5,25479,0.9699634536317954,0.9678296119722766,0.971959859530887,0.9995431703974418,0.9932465357088474,26267,0.029999619294171394,7.613826709304096e-05,0.9873921021349276,0.06073676437403277,0.981574539363484,0.9972590223846505,0.9988579259936043,0.9925003806913355,0.9960408101111619,snv,vaf_bin+lc,NV_T_1,strict,native,truth,>=20%,False
,1762,5,1533,0.8700340522133939,0.853524486626376,0.8849336538178223,0.9931895573212258,0.9654937570942111,1760,0.12897727272727272,0.0,0.9416242856203603,0.1295018531810358,0.9409761634506243,0.9931895573212258,0.9841089670828603,0.9449489216799092,0.9642451759364359,snv,vaf_bin+lc,NV_T_1,strict,native,truth,>=20%,True
all,1625,3,1329,0.8178461538461539,0.7983375026205104,0.8358555886751322,0.9218461538461539,0.9025641025641026,1573,0.1551176096630642,0.046153846153846156,0.8952745219451147,0.43086124401913883,0.9156923076923077,,0.9126153846153846,,0.8793846153846154,indel,all,NV_T_1,strict,native,truth,,
,102,3,38,0.37254901960784315,0.2849497607818803,0.4693998080005515,0.5294117647058824,0.565359477124183,81,0.5308641975308642,0.2647058823529412,0.6128039655817433,0.4281368160285101,0.7745098039215687,,0.5392156862745098,,0.38235294117647056,indel,vaf_bin,NV_T_1,strict,native,truth,<5%,
,287,3,227,0.7909407665505227,0.7402069559857811,0.8339890361439266,0.9233449477351916,0.8908246225319396,275,0.17454545454545456,0.03484320557491289,0.8819801394099023,0.42678021581735937,0.926829268292683,,0.9198606271777003,,0.8257839721254355,indel,vaf_bin,NV_T_1,strict,native,truth,5-10%,
,422,3,360,0.8530805687203792,0.8161202327240542,0.8836707195830971,0.9360189573459715,0.9225908372827805,413,0.12832929782082325,0.04265402843601896,0.9134454334310581,0.4138069611406202,0.9383886255924171,,0.933649289099526,,0.8957345971563981,indel,vaf_bin,NV_T_1,strict,native,truth,10-20%,
,814,3,704,0.8648648648648649,0.8396585008928058,0.8866436370014169,0.9631449631449631,0.9385749385749386,804,0.12437810945273632,0.02457002457002457,0.9165809776000075,0.28970331588132753,0.9176904176904177,,0.9459459459459459,,0.952088452088452,indel,vaf_bin,NV_T_1,strict,native,truth,>=20%,
,1242,3,1086,0.8743961352657005,0.8548032295505085,0.8916801961016868,0.9500805152979066,0.9331723027375202,1211,0.10322047894302229,0.0249597423510467,0.9307353400655355,0.4620414358036115,0.9412238325281803,,0.9404186795491143,,0.9178743961352657,indel,lc,NV_T_1,strict,native,truth,,False
,383,3,243,0.6344647519582245,0.585120987971149,0.681137960369085,0.8302872062663186,0.8033072236727589,362,0.3287292817679558,0.11488250652741515,0.7733585683380629,0.34452391681607686,0.8328981723237598,,0.8224543080939948,,0.7545691906005222,indel,lc,NV_T_1,strict,native,truth,,True
,89,3,34,0.38202247191011235,0.2879491474996802,0.4858588013762895,0.5393258426966292,0.5767790262172284,72,0.5277777777777778,0.2696629213483146,0.6153122438333706,0.4169635674060453,0.7865168539325843,,0.550561797752809,,0.39325842696629215,indel,vaf_bin+lc,NV_T_1,strict,native,truth,<5%,False
