vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,run,flags,callerset,denom
<5%,vtype,16220,0.9991985203452528,59390,1.0,-0.0008014796547471947,-0.0013708912039152032,-0.00046224446130310894,2.029971752978165e-09,4.05994350595633e-09,False,False,NS_T_1,strict,native,union
5-10%,vtype,7642,0.9760533891651401,58698,0.9999488909332516,-0.023895501768111505,-0.027570017745846952,-0.0206979645092708,1.842777126896522e-167,5.528331380689566e-167,False,False,NS_T_1,strict,native,union
10-20%,vtype,6634,0.9178474525173349,39117,0.9321522611652223,-0.014304808647887413,-0.021581748632162785,-0.007450395425631759,2.6860831312120216e-05,2.6860831312120216e-05,False,False,NS_T_1,strict,native,union
>=20%,vtype,21984,0.6902292576419214,137527,0.47859693005737053,0.21163232758455092,0.20494378419693754,0.21825937709160914,0.0,0.0,True,True,NS_T_1,strict,native,union
<5%,vtype,23538,0.9927776361628006,162360,1.0,-0.00722236383719943,-0.008387424781304609,-0.0062178429967327305,1.5559967885857807e-153,4.667990365757342e-153,False,False,NS_380X,strict,native,union
5-10%,vtype,6273,0.948190658377172,44883,0.9999777198493862,-0.051787061472214235,-0.057551382788784,-0.04657032401092604,9.6769857467799e-298,3.87079429871196e-297,False,False,NS_380X,strict,native,union
10-20%,vtype,4953,0.8788612961841308,30512,0.9336654431043524,-0.05480414692022162,-0.06457729440718224,-0.045560187067017165,2.3684396922119313e-42,4.7368793844238626e-42,False,False,NS_380X,strict,native,union
>=20%,vtype,21450,0.7220512820512821,199927,0.7073081674811306,0.014743114570151539,0.008388804944211835,0.021024485929517826,6.5306904142828965e-06,6.5306904142828965e-06,True,True,NS_380X,strict,native,union
<5%,vtype,9994,0.9973984390634381,9705,1.0,-0.002601560936561942,-0.003809297142968626,-0.0016861305895910922,3.139026267210231e-08,6.278052534420462e-08,False,False,IL_T_1,strict,native,union_hc
5-10%,vtype,3959,0.9540287951502905,44748,1.0,-0.04597120484970951,-0.052946476643689344,-0.039875572231533166,8.528594141017022e-201,2.5585782423051068e-200,False,False,IL_T_1,strict,native,union_hc
