vaf_bin,lc,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_TNscope,rate_lancet,rate_muTect2,rate_somaticSniper,rate_strelka,vtype,callerset
5-10%,,39655,4,25075,0.6323288362123314,0.6275705298103131,0.6370615071819263,0.7954860673307276,0.8067015508763081,36464,0.3123354541465555,0.04007060900264784,0.8220531575949228,0.4946688606147028,0.7957634598411297,0.7463371579876434,0.886647333249275,,0.7980582524271844,snv,shared4
10-20%,,37136,4,32086,0.8640133563119345,0.8604894296916195,0.8674619814628017,0.9594194312796208,0.9496647457992244,36844,0.1291390728476821,0.00904782421370099,0.9308661891051359,0.28865600150451315,0.9578306764325721,0.923281990521327,0.9493214131839725,,0.9682249030590263,snv,shared4
>=20%,,68471,4,63346,0.9251507937667042,0.9231558173836165,0.9270980679797087,0.9903024638167983,0.9780162404521622,68430,0.07429489989770569,0.002190708475120854,0.9616010505654239,0.10986740237522709,0.9944063910268581,0.9696221758116574,0.9540973550846343,,0.9939390398854989,snv,shared4
<5%,False,3798,4,439,0.11558715113217483,0.10580488190126343,0.12614625766420268,0.21406003159557663,0.28857293312269616,1796,0.7555679287305123,0.12111637704054766,0.48272596557267095,0.5090143419040772,0.15481832543443919,0.36361242759347023,0.4318062137967351,,0.2040547656661401,indel,native
<5%,True,915,4,34,0.03715846994535519,0.026711153716487263,0.05147584811177211,0.08961748633879782,0.12049180327868853,194,0.8247422680412371,0.06885245901639345,0.423104576524913,0.5453722547318598,0.07103825136612021,0.1453551912568306,0.17814207650273223,,0.08743169398907104,indel,native
5-10%,False,1330,4,748,0.562406015037594,0.5356027011489685,0.5888498707082354,0.8037593984962406,0.8052631578947368,1263,0.4077593032462391,0.0443609022556391,0.7669239376994438,0.3287405052110937,0.6293233082706767,0.881203007518797,0.8872180451127819,,0.8233082706766918,indel,native
5-10%,True,384,4,61,0.15885416666666666,0.1256971024130093,0.19876913490813491,0.2786458333333333,0.3372395833333333,197,0.6903553299492385,0.11458333333333333,0.5445668956905386,0.5591932094879052,0.2421875,0.375,0.375,,0.3567708333333333,indel,native
10-20%,False,1166,4,944,0.8096054888507719,0.7860676260986672,0.8311100218262415,0.9648370497427101,0.9416809605488851,1166,0.19039451114922812,0.007718696397941681,0.8992265166011272,0.09163273688345952,0.8910806174957119,0.9682675814751286,0.9245283018867925,,0.9828473413379074,indel,native
10-20%,True,409,4,114,0.2787286063569682,0.2374875007821722,0.32408753938691076,0.4572127139364303,0.5042787286063569,288,0.6041666666666666,0.1271393643031785,0.6223902370997011,0.5346032457746389,0.3863080684596577,0.5672371638141809,0.4767726161369193,,0.58679706601467,indel,native
>=20%,False,1158,4,1020,0.8808290155440415,0.8608976621204786,0.89824205810887,0.9930915371329879,0.9684801381692574,1158,0.11917098445595854,0.0,0.9391658379419182,0.0051728665742382185,0.9879101899827288,0.9637305699481865,0.9222797927461139,,1.0,indel,native
>=20%,True,590,4,256,0.43389830508474575,0.39446207544273737,0.47418973584221447,0.6661016949152543,0.7042372881355933,537,0.5232774674115456,0.10338983050847457,0.6835021047290112,0.3720641291317694,0.6847457627118644,0.7711864406779662,0.5067796610169492,,0.8542372881355932,indel,native
<5%,,4713,4,473,0.10036070443454276,0.09210491501779539,0.10926743703454045,0.1899002758328029,0.2559410142159983,1990,0.7623115577889448,0.11096965839168257,0.47684759558729706,0.5243380438392132,0.13855293868024612,0.32123912582219394,0.3825588796944621,,0.18141311266709104,indel,native
5-10%,,1714,4,809,0.4719953325554259,0.4484506845101486,0.4956652293845455,0.6861143523920653,0.7004084014002334,1460,0.4458904109589041,0.060093348891481914,0.7398215752710199,0.5055511463969963,0.5425904317386231,0.7677946324387398,0.7724620770128354,,0.7187864644107351,indel,native
10-20%,,1575,4,1058,0.6717460317460318,0.6481618391954678,0.6944944781805003,0.833015873015873,0.8280952380952381,1454,0.2723521320495186,0.03873015873015873,0.849528629435325,0.5283372014673954,0.76,0.8641269841269841,0.8082539682539682,,0.88,indel,native
>=20%,,1748,4,1276,0.7299771167048055,0.7086766516462619,0.7502689886408662,0.8827231121281465,0.8792906178489702,1695,0.2471976401179941,0.03489702517162471,0.8632589637726982,0.3945284355050415,0.88558352402746,0.898741418764302,0.7820366132723112,,0.9508009153318078,indel,native
<5%,False,3798,4,439,0.11558715113217483,0.10580488190126343,0.12614625766420268,0.21406003159557663,0.28857293312269616,1796,0.7555679287305123,0.12111637704054766,0.48272596557267095,0.5090143419040772,0.15481832543443919,0.36361242759347023,0.4318062137967351,,0.2040547656661401,indel,shared4
