all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_MuTect2,rate_SomaticSniper,rate_VarDict,rate_MuSE,rate_Strelka,rate_TNscope,vtype,grouping,denom,callerset,vaf_bin,lc
,342,4,225,0.6578947368421053,0.6061104312367716,0.7061713882081146,0.9327485380116959,0.8925438596491229,340,0.3382352941176471,0.008771929824561403,0.8186950297419938,0.0777716492002201,0.9649122807017544,,0.9853801169590644,,0.9152046783625731,0.7046783625730995,indel,vaf_bin+lc,truth,native,10-20%,False
,80,4,27,0.3375,0.24345612608081602,0.4464347660182303,0.625,0.678125,78,0.6538461538461539,0.2,0.596013980001613,0.21256319627757145,0.9375,,0.7125,,0.625,0.4375,indel,vaf_bin+lc,truth,native,10-20%,True
,556,4,509,0.9154676258992805,0.8893976344925495,0.9358359967808522,0.9964028776978417,0.977068345323741,556,0.08453237410071943,0.0035971223021582736,0.9576364179414592,0.05680228833365017,0.9568345323741008,,0.9820143884892086,,1.0,0.9694244604316546,indel,vaf_bin+lc,truth,native,>=20%,False
,258,4,189,0.7325581395348837,0.6754255173826342,0.7828670713482226,0.9186046511627907,0.9040697674418605,257,0.26459143968871596,0.027131782945736434,0.8562675421874785,0.1918325809001049,0.8992248062015504,,0.937984496124031,,0.9069767441860465,0.872093023255814,indel,vaf_bin+lc,truth,native,>=20%,True
all,39446,4,31289,0.7932109719616691,0.7891857838670776,0.7971790567659601,0.9216650610961821,0.9088310601835421,38113,0.17904651956025502,0.011965725295340466,0.9034731304640666,0.44526607043393485,0.9462809917355371,,0.923642447903463,,0.9329463063428485,0.8324544947523196,snv,all,truth,shared4,,
,1292,4,22,0.017027863777089782,0.011271521307264366,0.025647700944069665,0.23219814241486067,0.3113390092879257,719,0.9694019471488178,0.11687306501547988,0.3115415523063512,0.2903484444907016,0.5356037151702786,,0.29566563467492263,,0.39628482972136225,0.01780185758513932,snv,vaf_bin,truth,shared4,<5%,
,3853,4,722,0.18738645211523489,0.17537863080350874,0.20001700686509288,0.6327536984168181,0.6116662341032961,3255,0.7781874039938556,0.0630677394238256,0.5395229129279285,0.25581385071650975,0.8191019984427719,,0.722034778094991,,0.7015312743316896,0.20399688554373216,snv,vaf_bin,truth,shared4,5-10%,
,6271,4,4154,0.6624142879923457,0.6506139579504165,0.6740157579345226,0.9242545048636581,0.8833519374900335,6124,0.321685173089484,0.006378568011481423,0.8285692113093828,0.20067714766077263,0.9561473449210652,,0.9437091372986764,,0.9303141444745655,0.7032371232658268,snv,vaf_bin,truth,shared4,10-20%,
,28030,4,26391,0.9415269354263289,0.9387191311332489,0.9442137354294219,0.9925793792365323,0.9829200856225473,28015,0.057968945207924324,0.0013556903317873707,0.9700495029706119,0.10977324520103067,0.9804851944345344,,0.9758116303960043,,0.9900820549411345,0.9853014627185159,snv,vaf_bin,truth,shared4,>=20%,
,1242,4,22,0.017713365539452495,0.011726383663874615,0.026674536840071816,0.2318840579710145,0.3111916264090177,692,0.9682080924855492,0.11916264090177134,0.31185312213608823,0.29069872062894164,0.535426731078905,,0.2938808373590982,,0.3969404186795491,0.018518518518518517,snv,vaf_bin+lc,truth,shared4,<5%,False
,50,4,0,0.0,6.938893903907228e-18,0.07134759913335872,0.24,0.315,27,1.0,0.06,0.3055555555555556,0.2816591356737339,0.54,,0.34,,0.38,0.0,snv,vaf_bin+lc,truth,shared4,<5%,True
,3638,4,685,0.18829026937877955,0.1759177857121364,0.20132034350219058,0.6355140186915887,0.6137987905442551,3079,0.7775251705099058,0.06129741616272677,0.5403954017188598,0.2534290187253737,0.8207806487080813,,0.7234744365035733,,0.7067069818581638,0.20423309510720175,snv,vaf_bin+lc,truth,shared4,5-10%,False
,215,4,37,0.17209302325581396,0.12750895513653987,0.22818899734545695,0.586046511627907,0.5755813953488372,176,0.7897727272727273,0.09302325581395349,0.5241393119360095,0.29077072090770717,0.7906976744186046,,0.6976744186046512,,0.6139534883720931,0.2,snv,vaf_bin+lc,truth,shared4,5-10%,True
,5910,4,3945,0.6675126903553299,0.6553964953950205,0.6794112626057901,0.9284263959390863,0.886590524534687,5782,0.3177101349014182,0.006260575296108291,0.831077476575985,0.19097976388743068,0.9598984771573604,,0.9470389170896785,,0.9346869712351946,0.7047377326565144,snv,vaf_bin+lc,truth,shared4,10-20%,False
,361,4,209,0.5789473684210527,0.5274471395650513,0.6287851049398512,0.8559556786703602,0.8303324099722992,342,0.3888888888888889,0.008310249307479225,0.7860043546687715,0.29706047556637305,0.8947368421052632,,0.889196675900277,,0.8587257617728532,0.6786703601108033,snv,vaf_bin+lc,truth,shared4,10-20%,True
