vtype,hypothesis,vaf_bin,threshold,n,all_agree,lo,hi,p_one_sided,supported,p_holm,supported_holm,run,flags,callerset,denom
snv,H1,>=20%,0.8,28030,0.9476632179807349,0.9449941757433205,0.9502095742266532,0.0,True,0.0,True,FD_T_1,strict,native,truth
snv,H2,<5%,0.5,1292,0.0015479876160990713,0.00042461673364873687,0.005626631871894721,0.0,True,0.0,True,FD_T_1,strict,native,truth
pooled,H1,>=20%,0.8,28844,0.9465746775759256,0.9439194987899654,0.9491109221090944,0.0,True,0.0,True,FD_T_1,strict,native,truth
pooled,H2,<5%,0.5,1394,0.015064562410329985,0.009874056136922705,0.02292040601858442,0.0,True,0.0,True,FD_T_1,strict,native,truth
indel,H1,>=20%,0.8,814,0.8648648648648649,0.8396585008928058,0.8866436370014169,8.270429497591854e-07,True,8.270429497591854e-07,True,NS_T_1,strict,native,truth
indel,H2,<5%,0.5,102,0.24509803921568626,0.17188155492783067,0.3368175826370329,1.2259556692995322e-07,True,2.4519113385990644e-07,True,NS_T_1,strict,native,truth
snv,H1,>=20%,0.8,28030,0.8767392079914378,0.8728390653984068,0.8805361019336717,7.463241725464472e-254,True,2.2389725176393414e-253,True,NS_T_1,strict,native,truth
snv,H2,<5%,0.5,1292,0.0,0.0,0.0029644512409644002,0.0,True,0.0,True,NS_T_1,strict,native,truth
pooled,H1,>=20%,0.8,28844,0.876404104839828,0.8725557324653168,0.8801522311788952,9.518409683853558e-259,True,9.518409683853558e-259,True,NS_T_1,strict,native,truth
pooled,H2,<5%,0.5,1394,0.017934002869440458,0.012176677822087947,0.026340894024806705,0.0,True,0.0,True,NS_T_1,strict,native,truth
indel,H1,>=20%,0.8,814,0.6842751842751843,0.6515424576002814,0.7152768039624574,0.9999999999999976,False,1.0,False,NS_380X,strict,native,truth
indel,H2,<5%,0.5,102,0.39215686274509803,0.302975181892627,0.48916676092327677,0.018533383719280292,True,0.05560015115784088,False,NS_380X,strict,native,truth
snv,H1,>=20%,0.8,28030,0.6655012486621477,0.6599554799654677,0.6710016603047513,1.0,False,1.0,False,NS_380X,strict,native,truth
snv,H2,<5%,0.5,1292,0.0,0.0,0.0029644512409644002,0.0,True,0.0,True,NS_380X,strict,native,truth
pooled,H1,>=20%,0.8,28844,0.6660310636527528,0.6605664939093985,0.6714514150794688,1.0,False,1.0,False,NS_380X,strict,native,truth
pooled,H2,<5%,0.5,1394,0.028694404591104734,0.021142527893801957,0.03883670529579594,0.0,True,0.0,True,NS_380X,strict,native,truth
indel,H1,>=20%,0.8,820,0.9146341463414634,0.893522461002974,0.9318790682832566,1.450963975845347e-19,True,2.901927951690694e-19,True,IL_T_1,strict,native,truth_obsvaf
indel,H2,<5%,0.5,102,0.12745098039215685,0.07601833536259127,0.20592655800144005,2.150826990955062e-15,True,2.150826990955062e-15,True,IL_T_1,strict,native,truth_obsvaf
snv,H1,>=20%,0.8,27940,0.9666428060128848,0.9644722880389899,0.9686850245812798,0.0,True,0.0,True,IL_T_1,strict,native,truth_obsvaf
snv,H2,<5%,0.5,773,0.0,0.0,0.004944971431527044,2.0128589904991042e-233,True,6.0385769714973125e-233,True,IL_T_1,strict,native,truth_obsvaf
pooled,H1,>=20%,0.8,28760,0.9651599443671767,0.9629777512893387,0.9672178916780587,0.0,True,0.0,True,IL_T_1,strict,native,truth_obsvaf
pooled,H2,<5%,0.5,875,0.014857142857142857,0.008702864861166679,0.025252586968265663,1.0429469129140435e-235,True,1.0429469129140435e-235,True,IL_T_1,strict,native,truth_obsvaf
indel,H1,>=20%,0.8,855,0.887719298245614,0.8647994370752178,0.9071707480977117,5.122828563266247e-12,True,1.0245657126532494e-11,True,NV_T_1,strict,native,truth_obsvaf
indel,H2,<5%,0.5,64,0.296875,0.19905151325539794,0.41770201103542925,0.0007813946724140139,True,0.0007813946724140139,True,NV_T_1,strict,native,truth_obsvaf
snv,H1,>=20%,0.8,28091,0.9666085223025168,0.9644429862903674,0.9686464578491902,0.0,True,0.0,True,NV_T_1,strict,native,truth_obsvaf
snv,H2,<5%,0.5,1043,0.0,0.0,0.0036695707724660348,1.0609978955e-314,True,3.1829936864e-314,True,NV_T_1,strict,native,truth_obsvaf
pooled,H1,>=20%,0.8,28946,0.9642783113383542,0.9620778935016566,0.9663555156495557,0.0,True,0.0,True,NV_T_1,strict,native,truth_obsvaf
pooled,H2,<5%,0.5,1107,0.017163504968383016,0.011015090366761734,0.026651363732920864,0.0,True,0.0,True,NV_T_1,strict,native,truth_obsvaf
indel,H1,>=20%,0.8,920,0.925,0.9061566759938561,0.9403089080450352,3.991978152983111e-26,True,7.983956305966222e-26,True,FD_T_1,strict,native,truth_obsvaf
indel,H2,<5%,0.5,45,0.08888888888888889,0.035111116726370226,0.20733575334289356,4.6674415443703765e-09,True,4.6674415443703765e-09,True,FD_T_1,strict,native,truth_obsvaf
snv,H1,>=20%,0.8,27881,0.9657472830960152,0.9635474254991139,0.9678188165630119,0.0,True,0.0,True,FD_T_1,strict,native,truth_obsvaf
snv,H2,<5%,0.5,252,0.0,8.673617379884035e-19,0.015014997328429099,1.3817869688151111e-76,True,4.1453609064453334e-76,True,FD_T_1,strict,native,truth_obsvaf
pooled,H1,>=20%,0.8,28801,0.9644456789694802,0.962244386403742,0.9665230931272946,0.0,True,0.0,True,FD_T_1,strict,native,truth_obsvaf
pooled,H2,<5%,0.5,297,0.013468013468013467,0.005249578217997835,0.034111548626396995,1.2648125521259512e-81,True,1.2648125521259512e-81,True,FD_T_1,strict,native,truth_obsvaf
indel,H1,>=20%,0.8,854,0.8770491803278688,0.8533212981486376,0.8974001706940204,1.7526332623441532e-09,True,1.7526332623441532e-09,True,NS_T_1,strict,native,truth_obsvaf
indel,H2,<5%,0.5,64,0.078125,0.03383117690855046,0.17019537354162906,4.5014084690611633e-13,True,9.002816938122327e-13,True,NS_T_1,strict,native,truth_obsvaf
snv,H1,>=20%,0.8,27852,0.8914261094355881,0.8877183470491972,0.895025912614718,0.0,True,0.0,True,NS_T_1,strict,native,truth_obsvaf
snv,H2,<5%,0.5,497,0.0,4.336808689942018e-19,0.007670009646843959,2.443949090799684e-150,True,7.331847272399051e-150,True,NS_T_1,strict,native,truth_obsvaf
pooled,H1,>=20%,0.8,28706,0.8909983975475511,0.8873408479245511,0.894551313764944,0.0,True,0.0,True,NS_T_1,strict,native,truth_obsvaf
pooled,H2,<5%,0.5,561,0.008912655971479501,0.0038127912580018034,0.020692242153662162,6.080681318067217e-158,True,6.080681318067217e-158,True,NS_T_1,strict,native,truth_obsvaf
indel,H1,>=20%,0.8,833,0.6866746698679472,0.6543793017697886,0.7172562054364054,0.999999999999996,False,1.0,False,NS_380X,strict,native,truth_obsvaf
indel,H2,<5%,0.5,106,0.32075471698113206,0.23950855737983967,0.4145382805993295,0.00014226430945812592,True,0.00042679292837437776,True,NS_380X,strict,native,truth_obsvaf
snv,H1,>=20%,0.8,28187,0.6676836839677865,0.6621621468918584,0.6731595218071165,1.0,False,1.0,False,NS_380X,strict,native,truth_obsvaf
snv,H2,<5%,0.5,1291,0.0,0.0,0.002966740672786937,0.0,True,0.0,True,NS_380X,strict,native,truth_obsvaf
pooled,H1,>=20%,0.8,29020,0.6682288077188147,0.6627895740312627,0.6736235094626387,1.0,False,1.0,False,NS_380X,strict,native,truth_obsvaf
pooled,H2,<5%,0.5,1397,0.024337866857551897,0.017468046253040777,0.03381645733466303,0.0,True,0.0,True,NS_380X,strict,native,truth_obsvaf
indel,H1,>=20%,0.8,19452,0.3626876413736377,0.3559590721143756,0.3694704339130751,1.0,False,1.0,False,IL_T_1,strict,native,union
indel,H2,<5%,0.5,17556,0.001822738664843928,0.0012914876126710797,0.0025719560852568344,0.0,True,0.0,True,IL_T_1,strict,native,union
snv,H1,>=20%,0.8,156082,0.5642354659730142,0.5617739561504795,0.5666938139726052,1.0,False,1.0,False,IL_T_1,strict,native,union
snv,H2,<5%,0.5,83570,0.0,0.0,4.596484681856973e-05,0.0,True,0.0,True,IL_T_1,strict,native,union
pooled,H1,>=20%,0.8,175534,0.5419007143915139,0.5395690113530117,0.544230583524944,1.0,False,1.0,False,IL_T_1,strict,native,union
pooled,H2,<5%,0.5,101126,0.0003164369202776734,0.0002241681121571777,0.0004466671016834239,0.0,True,0.0,True,IL_T_1,strict,native,union
indel,H1,>=20%,0.8,19292,0.44832054737715116,0.4413137882277693,0.4553478834461298,1.0,False,1.0,False,NV_T_1,strict,native,union
indel,H2,<5%,0.5,22036,0.002359774913777455,0.001800096714472994,0.003092926632459217,0.0,True,0.0,True,NV_T_1,strict,native,union
snv,H1,>=20%,0.8,183677,0.5097698677569864,0.5074835212130172,0.5120558056514267,1.0,False,1.0,False,NV_T_1,strict,native,union
snv,H2,<5%,0.5,98265,0.0,0.0,3.9091320948399275e-05,0.0,True,0.0,True,NV_T_1,strict,native,union
pooled,H1,>=20%,0.8,202969,0.5039291714498273,0.5017539645748746,0.5061042295979826,1.0,False,1.0,False,NV_T_1,strict,native,union
