all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_TNscope,rate_lancet,rate_muTect2,rate_somaticSniper,rate_strelka,vtype,grouping,purity,denom,callerset,vaf_bin,lc
,7572,5,0,0.0,0.0,0.0005070669498002024,0.5157157950343371,0.4788695192815637,7572,1.0,0.3711040676175383,0.311904181302598,0.04663327228673672,0.3116745905969361,0.5785789751716851,0.8460116217643951,0.04397781299524564,0.6141045958795562,snv,vaf_bin,1.0,union,native,5-10%,
,22571,5,4128,0.1828895485357317,0.1779004347989779,0.1879865847793287,0.3059235301936113,0.4195206238093128,22571,0.8171104514642683,0.6705950112976828,0.5594244157897157,0.3083855094464306,0.3142084976297018,0.300031013247087,0.32918346550883876,0.8191927694829648,0.3349873731779717,snv,vaf_bin,1.0,union,native,10-20%,
,168149,5,76870,0.45715407168642097,0.454774016426836,0.4595360845801181,0.6553057110063099,0.6856644999375554,168149,0.542845928313579,0.30888676114636426,0.7279143861607297,0.46547459698794486,0.6749965804137996,0.6187666890674343,0.49011293555120755,0.972542209587925,0.6719040850674105,snv,vaf_bin,1.0,union,native,>=20%,
,6976,5,0,0.0,0.0,0.0005503647673600846,0.24440940366972477,0.34056766055045873,6976,1.0,0.5474483944954128,0.12223712080788236,-0.0894379872634184,0.007884174311926605,0.4701834862385321,0.8545011467889908,0.0,0.37026949541284404,snv,vaf_bin+lc,1.0,union,native,<5%,False
,3734,5,0,0.0,0.0,0.0010277211762497074,0.012587038028923407,0.2116764863417247,3734,1.0,0.9542046063202999,0.04453977425228664,-0.22598483404330724,0.021424745581146223,0.039903588644884844,0.22362078200321373,0.7356722013926085,0.03776111408677022,snv,vaf_bin+lc,1.0,union,native,<5%,True
,5900,5,0,0.0,5.421010862427522e-20,0.0006506710668787955,0.6335593220338983,0.5403389830508474,5900,1.0,0.24271186440677966,0.34255245756003166,0.015012510039491821,0.3708474576271186,0.7071186440677966,0.8996610169491526,0.000847457627118644,0.7232203389830508,snv,vaf_bin+lc,1.0,union,native,5-10%,False
,1672,5,0,0.0,0.0,0.0022922567051166026,0.09988038277511961,0.2619617224880383,1672,1.0,0.8241626794258373,0.11864847559136842,-0.10777439814095299,0.10287081339712918,0.125,0.6566985645933014,0.19617224880382775,0.229066985645933,snv,vaf_bin+lc,1.0,union,native,5-10%,True
,8686,5,3922,0.45153119963159105,0.44108946458674697,0.4620157872190473,0.7428045130094405,0.7317982961086806,8686,0.548468800368409,0.22162099930923324,0.7306593693513376,0.39418017991385007,0.7455675800138153,0.7324430117430347,0.7456827078056643,0.6747639880267097,0.7605341929541791,snv,vaf_bin+lc,1.0,union,native,10-20%,False
,13885,5,206,0.014836154123154484,0.012955250763907968,0.016985436517578462,0.03262513503781059,0.22416996759092545,13885,0.9851638458768455,0.9514584083543393,0.22025828254186863,-0.14653152464688912,0.04436442203817069,0.029528267915016206,0.06863521786100107,0.9095426719481455,0.06877925819229384,snv,vaf_bin+lc,1.0,union,native,10-20%,True
,120543,5,72654,0.6027226798735721,0.5999570727820335,0.6054817400504026,0.8435993794745443,0.8261085255883792,120543,0.3972773201264279,0.1288253984055482,0.8134951322542147,0.4064294429113275,0.8564744530997237,0.8046423268045427,0.6360302962428345,0.9844039056602208,0.8489916461345743,snv,vaf_bin+lc,1.0,union,native,>=20%,False
,47606,5,4216,0.0885602655127505,0.0860412325065413,0.09114569356455532,0.17852791664916187,0.330046632777381,47606,0.9114397344872495,0.7648195605595933,0.3923905196661247,0.13615629975109908,0.2154770407091543,0.14811158257362517,0.12063605427887242,0.9425072469856741,0.22350123933957905,snv,vaf_bin+lc,1.0,union,native,>=20%,True
